RAL,pl,en,de,nl,fr,it,es,lt
RAL 1000,Beżowo zielony,Green beige,Grünbeige,Groenbeige,Beige vert,Beige verdastro,Beige verdoso,Žalsva smėlio
RAL 1001,beżowy,Beige,Beige,Beige,Beige,Beige,Beige,Smėlio
RAL 1002,Żółty piaskowy,Sand yellow,Sandgelb,Zandgeel,Jaune sable,Giallo sabbia,Amarillo arena,Smėlio geltona
RAL 1003,Żółty sygnałowy,Signal yellow,Signalgelb,Signaalgeel,Jaune de sécurité,Giallo segnale,Amarillo señales,Signalinė geltona
RAL 1004,Złoty żółty,Golden yellow,Goldgelb,Goudgeel,Jaune or,Giallo oro,Amarillo oro,Aukso geltona
RAL 1005,Miodowo piaskowy,Honey yellow,Honiggelb,Honinggeel,Jaune miel,Giallo miele,Amarillo miel,Medaus geltona
RAL 1006,Kukurydza żółta,Maize yellow,Maisgelb,Maisgeel,Jaune maïs,Giallo polenta,Amarillo maiz,Kukurūzo geltona
RAL 1007,Żółty narcyzowy,Daffodil yellow,Narzissengelb,Narcissengeel,Jaune narcisse,Giallo narciso,Amarillo narciso,Narcizo geltona
RAL 1011,Irchowo beżowy,Brown beige,Braunbeige,Bruinbeige,Beige brun,Beige marrone,Beige pardo,Rusva smėlio
RAL 1012,Żółty cytrynowy,Lemon yellow,Zitronengelb,Citroengeel,Jaune citron,Giallo limone,Amarillo limón,Citrinos geltona
RAL 1013,Perłowo biały,Oyster white,Perlweiß,Parelwit,Blanc perlé,Bianco perla,Blanco perla,Perlo balta
RAL 1014,Słomkowo beżowy,Ivory,Elfenbein,Ivoorkleurig,Ivoire,Avorio,Marfil,Dramblio kaulo
RAL 1015,Kremowo beżowy,Light ivory,Hellelfenbein,Licht ivoorkleurig,Ivoire clair,Avorio chiaro,Marfil claro,Šviesi dramblio kaulo
RAL 1016,Żółty siarkowy,Sulfur yellow,Schwefelgelb,Zwavelgeel,Jaune soufre,Giallo zolfo,Amarillo azufre,Sieros geltona
RAL 1017,Żółty szafranowy,Saffron yellow,Safrangelb,Saffraangeel,Jaune safran,Giallo zafferano,Amarillo azafrán,Šafrano geltona
RAL 1018,Żółty cynkowy,Zinc yellow,Zinkgelb,Zinkgeel,Jaune zinc,Giallo zinco,Amarillo de zinc,Cinko geltona
RAL 1019,Irchowo szary,Grey beige,Graubeige,Grijsbeige,Beige gris,Beige grigiastro,Beige agrisado,Pilka smėlio
RAL 1020,Piaskowo szary,Olive yellow,Olivgelb,Olijfgeel,Jaune olive,Giallo olivastro,Amarillo oliva,Alyvuogių geltona
RAL 1021,Żółty kadmowy,Colza yellow,Rapsgelb,Koolzaadgeel,Jaune colza,Giallo navone,Amarillo colza,Rapsų geltona
RAL 1023,Żółty ostrzegawczy,Traffic yellow,Verkehrsgelb,Verkeersgeel,Jaune signalisation,Giallo traffico,Amarillo tráfico,Kelininkų geltona
RAL 1024,Ochra żółty,Ochre yellow,Ockergelb,Okergeel,Jaune ocre,Giallo ocra,Amarillo ocre,Ochros geltona
RAL 1026,Świetlisty zółty,Luminous yellow,Leuchtgelb,Briljantgeel,Jaune brillant,Giallo brillante,Amarillo brillante,Ryškiai geltona
RAL 1027,Żółte curry,Curry,Currygelb,Kerriegeel,Jaune curry,Giallo curry,Amarillo curry,Kario geltona
RAL 1028,Żółty melonowy,Melon yellow,Melonengelb,Meloengeel,Jaune melon,Giallo melone,Amarillo melón,Meliono geltona
RAL 1032,Miotła żółta,Broom yellow,Ginstergelb,Bremgeel,Jaune genêt,Giallo scopa,Amarillo retama,Šluotinio raipsto geltona
RAL 1033,Żółcień georginiowa,Dahlia yellow,Dahliengelb,Dahliageel,Jaune dahlia,Giallo dahlien,Amarillo dalia,Jurgino geltona
RAL 1034,Żółty pastelowy,Pastel yellow,Pastellgelb,Pastelgeel,Jaune pastel,Giallo pastello,Amarillo pastel,Pastelinė geltona
RAL 1035,Beżowy perłowy,Pearl beige,Perlbeige,Parelmoer grijs,Beige nacré,Beige perlato,Beige perlado,Perlo ruda
RAL 1036,Złoty perłowy,Pearl gold,Perlgold,Parelmoer goud,Or nacré,Oro perlato,Oro perlado,Perlo auksinė
RAL 1037,Żółty słoneczny,Sun yellow,Sonnengelb,Zonnegeel,Jaune soleil,Giallo sole,Amarillo sol,Saulės geltona
RAL 2000,Żółty pomarańczowy,Yellow orange,Gelborange,Geeloranje,Orangé jaune,Arancio giallastro,Amarillo naranja,Geltonai oranžinė
RAL 2001,Czerwony pomarańczowy,Red orange,Rotorange,Roodoranje,Orangé rouge,Arancio rossastro,Rojo anaranjado,Raudonai oranžinė
RAL 2002,Cynobrowy,Vermilion,Blutorange,Vermiljoen,Orangé sang,Arancio sanguigno,Naranja sanguineo,Cinoberio
RAL 2003,Pomarańczowy pastelowy,Pastel orange,Pastellorange,Pasteloranje,Orangé pastel,Arancio pastello,Naranja pálido,Pastelinė oranžinė
RAL 2004,Czysty pomarańczowy,Pure orange,Reinorange,Zuiver oranje,Orangé pur,Arancio puro,Naranja puro,Grynai oranžinė
RAL 2005,Świetlisty pomarańczowy,Luminous orange,Leuchtorange,Briljantoranje,Orangé brillant,Arancio brillante,Naranja brillante,Ryškiai oranžinė
RAL 2007,Świetlisty jasny pomarańczowy,Luminous bright orange,Leuchthell orange,Briljant lichtoranje,Orangé clair brillant,Arancio chiaro brillante,Naranja claro brillante,Ryški šviesi oranžinė
RAL 2008,Jasnoczerwony pomarańczowy,Bright red orange,Hellrotorange,Licht roodoranje,Orangé rouge clair,Rosso arancio chiaro,Rojo claro anaranjado,Šviesiai raudonai oranžinė
RAL 2009,Pomarańczowy ostrzegawczy,Traffic orange,Verkehrsorange,Verkeersoranje,Orangé signalisation,Arancio traffico,Naranja tráfico,Kelininkų oranžinė
RAL 2010,Pomarańczowy sygnałowy,Signal orange,Signalorange,Signaaloranje,Orangé de sécurité,Arancio segnale,Naranja señales,Signalinė oranžinė
RAL 2011,Głęboki pomarańczowy,Deep orange,Tieforange,Dieporanje,Orangé foncé,Arancio profondo,Naranja intenso,Intensyvi oranžinė
RAL 2012,Pomarańczowy łosoś,Salmon orange,Lachsorange,Zalmoranje,Orangé saumon,Arancio salmone,Naranja salmón,Lašišos oranžinė
RAL 2013,Perłowy pomarańczowy,Pearl orange,Perlorange,Parelmoer oranje,Orangé nacré,Arancio perlato,Naranja perlado,Perlo oranžinė
RAL 3000,Czerwony ognisty,Flame red,Feuerrot,Vuurrood,Rouge feu,Rosso fuoco,Rojo vivo,Ugnies raudona
RAL 3001,Czerwony sygnałowy,Signal red,Signalrot,Signaalrood,Rouge de sécurité,Rosso segnale,Rojo señales,Signalinė raudona
RAL 3002,Czerwony karminowy,Carmine red,Karminrot,Karmijnrood,Rouge carmin,Rosso carminio,Rojo carmin,Karmino raudona
RAL 3003,Czerwony rubinowy,Ruby red,Rubinrot,Robijnrood,Rouge rubis,Rosso rubino,Rojo rubí,Rubino raudona
RAL 3004,Purpurowy czerwony,Purple red,Purpurrot,Purperrood,Rouge pourpre,Rosso porpora,Rojo púrpura,Purpurinė raudona
RAL 3005,Wino czerwony,Wine red,Weinrot,Wijnrood,Rouge vin,Rosso vino,Rojo vino,Vyno raudona
RAL 3007,Czarny czerwony,Black red,Schwarzrot,Zwartrood,Rouge noir,Rosso nerastro,Rojo negruzco,Juodai raudona
RAL 3009,Czerwony tlenkowy,Oxide red,Oxidrot,Oxyderood,Rouge oxyde,Rosso ossido,Rojo óxido,Geležies oksido raudona
RAL 3011,Brązowo czerwony,Brown red,Braunrot,Bruinrood,Rouge brun,Rosso marrone,Rojo pardo,Rudai raudona
RAL 3012,Beżowo czerwony,Beige red,Beigerot,Beigerood,Rouge beige,Rosso beige,Rojo beige,Rausva smėlio
RAL 3013,Pomidorowy czerwony,Tomato red,Tomatenrot,Tomaatrood,Rouge tomate,Rosso pomodoro,Rojo tomate,Pomidoro raudona
RAL 3014,Różowy ciemny,Antique pink,Altrosa,Oudroze,Vieux rose,Rosa antico,Rojo viejo,Antikinė rausva
RAL 3015,Różowy jasny,Light pink,Hellrosa,Lichtroze,Rose clair,Rosa chiaro,Rosa claro,Šviesiai rožinė
RAL 3016,Koralowoczerwony,Coral red,Korallenrot,Koraalrood,Rouge corail,Rosso corallo,Rojo coral,Koralinė raudona
RAL 3017,Różowy ciemny,Rose,Rosé,Bleekrood,Rosé,Rosato,Rosa,Rožinė
RAL 3018,Czerwony truskawkowy,Strawberry red,Erdbeerrot,Aardbeirood,Rouge fraise,Rosso fragola,Rojo fresa,Braškių raudona
RAL 3020,Czerwień kubańska,Traffic red,Verkehrsrot,Verkeersrood,Rouge signalisation,Rosso traffico,Rojo tráfico,Kelininkų raudona
RAL 3022,Łososiowy róż,Salmon pink,Lachsrot,Zalmrood,Rouge saumon,Rosso salmone,Rojo salmón,Lašišos rausva
RAL 3024,,Luminous red,Leuchtrot,Briljantrood,Rouge brillant,Rosso brillante,Rojo brillante,Ryškiai raudona
RAL 3026,Świetlisty Jasno-Czerwony,Luminous bright red,Leuchthellrot,Briljant lichtrood,Rouge clair brillant,Rosso chiaro brillante,Rojo claro brillante,Ryški šviesi raudona
RAL 3027,Czerwony malinowy,Raspberry red,Himbeerrot,Framboosrood,Rouge framboise,Rosso lampone,Rojo frambuesa,Avietinė
RAL 3028,Czysty czerwony,Pure red,Reinrot,Zuiver rood,Rouge pu,Rosso puro,Rojo puro,Grynai raudona
RAL 3031,Czerwony orientalny,Orient red,Orientrot,Oriëntrood,Rouge oriental,Rosso oriente,Rojo oriente,Rytietiška raudona
RAL 3032,Rubinowy Perłowy,Pearl ruby red,Perlrubinrot,Parelmoer donkerrood,Rouge rubis nacré,Rosso rubino perlato,Rojo rubí perlado,Perlo rubino raudona
RAL 3033,Perłowy różowy,Pearl pink,Perlrosa,Parelmoer lichtrood,Rose nacré,Rosa perlato,Rosa perlado,Perlo rausva
RAL 4001,Czerwony liliowy,Red lilac,Rotlila,Roodlila,Lilas rouge,Lilla rossastro,Rojo lila,Lelijų rausva
RAL 4002,Fioletowy czerwony,Red violet,Rotviolett,Roodpaars,Violet rouge,Viola rossastro,Rojo violeta,Violetinė rausva
RAL 4003,Różowy wrzosowy,Heather violet,Erikaviolett,Heidepaars,Violet bruyère,Viola erica,Violeta érica,Erikos violetinė
RAL 4004,Bordowy fiolet,Claret violet,Bordeauxviolett,Bordeuaxpaars,Violet bordeaux,Viola bordeaux,Burdeos,Bordo violetinė
RAL 4005,Niebieski liliowy,Blue lilac,Blaulila,Blauwlila,Lilas bleu,Lilla bluastro,Lila azulado,Alyvų mėlyna
RAL 4006,Fioletowy ostrzegawczy,Traffic purple,Verkehrspurpur,Verkeerspurper,Pourpre signalisation,Porpora traffico,Púrpurá tráfico,Kelininkų violetinė
RAL 4007,Fioletowy purpurowy,Purple violet,Purpurviolett,Purperviolet,Violet pourpre,Porpora violetto,Violeta púrpura,Purpurinė violetinė
RAL 4008,Fioletowy sygnałowy,Signal violet,Signalviolett,Signaalviolet,Violet de sécurité,Violetto segnale,Violeta señales,Signalinė violetinė
RAL 4009,Fioletowy pastelowy,Pastel violet,Pastellviolett,Pastelviolet,Violet pastel,Violetto pastello,Violeta pastel,Pastelinė violetinė
RAL 4010,Telemagenta,Telemagenta,Tele Magenta,Magenta tele,,,,
RAL 4011,Fioletowy perłowy,Pearl violet,Perlviolett,Parelmoer donkerviolet,Violet nacré,Violetto perlato,Violeta perlado,Perlo violetinė
RAL 4012,Jeżyna perłowa,Pearl blackberry,Perlbrombeer,Parelmoer lichtviolet,Mûre nacré,Mora perlato,Morado perlado,Perlo gervuogių
RAL 5000,Fioletowo niebieski,Violet blue,Violettblau,Paarsblauw,Bleu violet,Blu violaceo,Azul violeta,Violetinė mėlyna
RAL 5001,Niebieski turkusowy,Green blue,Grünblau,Groenblauw,Bleu vert,Blu verdastro,Azul verdoso,Žaliai mėlyna
RAL 5002,Ultramaryna niebieski,Ultramarine blue,Ultramarinblau,Ultramarijn blauw,Bleu outremer,Blu oltremare,Azul ultramar,Ultramarino mėlyna
RAL 5003,Niebieski szafirowy,Sapphire blue,Saphirblau,Saffierblauw,Bleu saphir,Blu zaffiro,Azul zafiro,Safyro mėlyna
RAL 5004,Czarno-niebieski,Black blue,Schwarzblau,Zwartblauw,Bleu noir,Blu nerastro,Azul negruzco,Juodai mėlyna
RAL 5005,Niebieski sygnałowy,Signal blue,Signalblau,Signaalblauw,Bleu de sécurité,Blu segnale,Azul señales,Signalinė mėlyna
RAL 5007,Niebieski brylantowy,Brilliant blue,Brillantblau,Briljantblauw,Bleu brillant,Blu brillante,Azul brillante,Briliantinė mėlyna
RAL 5008,Szaro-niebieski,Grey blue,Graublau,Grijsblauw,Bleu gris,Blu grigiastro,Azul grisáceo,Pilkai mėlyna
RAL 5009,Niebieski azurowy,Azure blue,Azurblau,Azuurblauw,Bleu azur,Blu azzurro,Azul azur,Ažūrinė mėlyna
RAL 5010,Niebieski goryczki,Gentian blue,Enzianblau,Gentiaanblauw,Bleu gentiane,Blu genziana,Azul genciana,Gencijono mėlyna
RAL 5011,Granatowy stalowy,Steel blue,Stahlblau,Staalblauw,Bleu acier,Blu acciaio,Azul acero,Plieno mėlyna
RAL 5012,Niebieski jasny,Light blue,Lichtblau,Lichtblauw,Bleu clair,Blu luce,Azul luminoso,Šviesiai mėlyna
RAL 5013,Niebieski kobaltowy,Cobalt blue,Kobaltblau,Kobaltblauw,Bleu cobalt,Blu cobalto,Azul cobalto,Kobalto mėlyna
RAL 5014,Niebieski gołębi,Pigeon blue,Taubenblau,Duifblauw,Bleu pigeon,Blu colomba,Azul colombino,Balandžio mėlyna
RAL 5015,Niebieskie niebo,Sky blue,Himmelblau,Hemelsblauw,Bleu ciel,Blu cielo,Azul celeste,Dangaus mėlyna
RAL 5017,Niebieskie ostrzegawczy,Traffic blue,Verkehrsblau,Verkeersblauw,Bleu signalisation,Blu traffico,Azul tráfico,Kelininkų mėlyna
RAL 5018,Niebieski turkusowy,Turquoise blue,Türkisblau,Turkooisblauw,Bleu turquoise,Blu turchese,Azul turquesa,Turkio mėlyna
RAL 5019,Niebieski capri,Capri blue,Capriblau,Capriblauw,Bleu capri,Blu Capri,Azul capri,Capri mėlyna
RAL 5020,Niebieski oceaniczny,Ocean blue,Ozeanblau,Oceaanblauw,Bleu océan,Blu oceano,Azul oceano,Vandenyno mėlyna
RAL 5021,Woda niebieski,Water blue,Wasserblau,Waterblauw,Bleu d’eau,Blu acqua,Azul agua,Vandens mėlyna
RAL 5022,Granatowy,Night blue,Nachtblau,Nachtblauw,Bleu nocturne,Blu notte,Azul noche,Nakties mėlyna
RAL 5023,Odległe niebieskie,Distant blue,Fernblau,Verblauw,Bleu distant,Blu distante,Azul lejanía,Horizonto tolių mėlyna
RAL 5024,Niebieski pastelowy,Pastel blue,Pastellblau,Pastelblauw,Bleu pastel,Blu pastello,Azul pastel,Pastelinė mėlyna
RAL 5025,Niebieski perłowy goryczki,Pearl gentian blue,Perlenzian,Parelmoer blauw,Gentiane nacré,Blu genziana perlato,Gencian perlado,Perlo gencijono mėlyna
RAL 5026,Perłowy błękit nocny,Pearl night blue,Perlnachtblau,Parelmoer nachtblauw,Bleu nuit nacré,Blu notte perlato,Azul noche perlado,Perlo nakties mėlyna
RAL 6000,Patyna zielona,Patina green,Patinagrün,Patinagroen,Vert patine,Verde patina,Verde patina,Patinos žalia
RAL 6001,Zielony szmaragdowy,Emerald green,Smaragdgrün,Smaragdgroen,Vert émeraude,Verde smeraldo,Verde esmeralda,Smaragdo žalia
RAL 6002,Zielony liść,Leaf green,Laubgrün,Loofgroen,Vert feuillage,Verde foglia,Verde hoja,Lapų žalia
RAL 6003,Zielony oliwkowy,Olive green,Olivgrün,Olijfgroen,Vert olive,Verde oliva,Verde oliva,Alyvuogių žalia
RAL 6004,Niebieski zielony,Blue green,Blaugrün,Blauwgroen,Vert bleu,Verde bluastro,Verde azulado,Mėlynai žalia
RAL 6005,Zieleń mchu,Moss green,Moosgrün,Mosgroen,Vert mousse,Verde muschio,Verde musgo,Samanų žalia
RAL 6006,Oliwkowy brązowy,Grey olive,Grauoliv,Grijs olijfgroen,Olive gris,Oliva grigiastro,Oliva grisáceo,Alyvuogių ruda
RAL 6007,Zielony butelkowy,Bottle green,Flaschengrün,Flessengroen,Vert bouteille,Verde bottiglia,Verde botella,Butelio žalia
RAL 6008,Brązowo zielony,Brown green,Braungrün,Bruingroen,Vert brun,Verde brunastro,Verde parduzco,Rudai žalia
RAL 6009,Zielony jodłowy,Fir green,Tannengrün,Dennengroen,Vert sapin,Verde abete,Verde abeto,Kėnio žalia
RAL 6010,Zielony trawiasty,Grass green,Grasgrün,Grasgroen,Vert herbe,Verde erba,Verde hierba,Žolės žalia
RAL 6011,Seledynowy groszkowy,Reseda green,Resedagrün,Resedagroen,Vert réséda,Verde reseda,Verde reseda,Razetos žalia
RAL 6012,Czarny zielony,Black green,Schwarzgrün,Zwartgroen,Vert noir,Verde nerastro,Verde negruzco,Juodai žalia
RAL 6013,Trzcina zielona,Reed green,Schilfgrün,Rietgroen,Vert jonc,Verde canna,Verde caña,Nendrių žalia
RAL 6014,Oliwkowy żółty,Yellow olive,Gelboliv,Geel olijfgroen,Olive jaune,Oliva giallastro,Amarillo oliva,Alyvuogių geltona
RAL 6015,Czarna oliwka,Black olive,Schwarzoliv,Zwart olijfgroen,Olive noir,Oliva nerastro,Oliva negruzco,Alyvuogių juoda
RAL 6016,Zielony turkusowy,Turquoise green,Türkisgrün,Turkooisgroen,Vert turquoise,Verde turchese,Verde turquesa,Turkio žalia
RAL 6017,Zieleń majowa,May green,Maigrün,Meigroen,Vert mai,Verde maggio,Verde mayo,Gegužės žalia
RAL 6018,Żółty zielony,Yellow green,Gelbgrün,Geelgroen,Vert jaune,Verde giallastro,Verde amarillento,Geltonai žalia
RAL 6019,Zielony pastelowy,Pastel green,Weißgrün,Witgroen,Vert blanc,Verde biancastro,Verde blanquecino,Pastelinė žalia
RAL 6020,Chromowo-zielony,Chrome green,Chromoxidgrün,Chroomoxyde groen,Vert oxyde chromique,Verde cromo,Verde cromo,Chromo žalia
RAL 6021,Bladozielony,Pale green,Blassgrün,Bleekgroen,Vert pâle,Verde pallido,Verde pálido,Blyški žalia
RAL 6022,Brązowa oliwka,Olive drab,Braunoliv,Bruin olijfgroen,Olive brun,Oliva brunastro,Oliva parduzco,Alyvuogių ruda
RAL 6024,Zielony ostrzegawczy,Traffic green,Verkehrsgrün,Verkeersgroen,Vert signalisation,Verde traffico,Verde tráfico,Kelininkų žalia
RAL 6025,Paproć zielony,Fern green,Farngrün,Varengroen,Vert fougère,Verde felce,Verde helecho,Paparčio žalia
RAL 6026,Opal zielony,Opal green,Opalgrün,Opaalgroen,Vert opale,Verde opale,Verde opalo,Opalo žalia
RAL 6027,Jasnozielony,Light green,Lichtgrün,Lichtgroen,Vert clair,Verde chiaro,Verde luminoso,Šviesiai žalia
RAL 6028,Zielony sosnowy,Pine green,Kieferngrün,Pijnboomgroen,Vert pin,Verde pino,Verde pino,Pušies žalia
RAL 6029,Zielony miętowy,Mint green,Minzgrün,Mintgroen,Vert menthe,Verde menta,Verde menta,Mėtinė žalia
RAL 6032,Zielony sygnałowy,Signal green,Signalgrün,Signaalgroen,Vert de sécurité,Verde segnale,Verde señales,Signalinė žalia
RAL 6033,Turkus miętowy,Mint turquoise,Minttürkis,Mintturquoise,Turquoise menthe,Turchese menta,Turquesa menta,Turkio mėtinė žalia
RAL 6034,Turkus pastelowy,Pastel turquoise,Pastelltürkis,Pastelturquoise,Turquoise pastel,Turchese pastello,Turquesa pastel,Pastelinė turkio žalia
RAL 6035,Zielony Perłowy,Pearl green,Perlgrün,Parelmoer donkergroen,Vert nacré,Verde perlato,Verde perlado,Perlo žalia
RAL 6036,Perłowy opal zielony,Pearl opal green,Perlopalgrün,Parelmoer lichtgroen,Vert opal nacré,Verde opalo perlato,Verde ópalo perlado,Perlo opalo žalia
RAL 6037,Zielony zzysty,Pure green,Reingrün,Zuiver groen,Vert pur,Verde puro,Verde puro,Grynai žalia
RAL 6038,Świetlisty zielony,Luminous green,Leuchtgrün,Briljantgroen,Vert brillant,Verde brillante,Verde brillante,Ryškiai žalia
RAL 7000,Wiewiórka szara,Squirrel grey,Fehgrau,Pelsgrijs,Gris petit-gris,Grigio vaio,Gris ardilla,Voverės pilka
RAL 7001,Srebrno szary,Silver grey,Silbergrau,Zilvergrijs,Gris argent,Grigio argento,Gris plata,Sidabrinė pilka
RAL 7002,Szary oliwkowy,Olive grey,Olivgrau,Olijfgrijs,Gris olive,Grigio olivastro,Gris oliva,Alyvuogių pilka
RAL 7003,Szary mech,Moss grey,Moosgrau,Mosgrijs,Gris mousse,Grigio muschio,Gris musgo,Samanų pilka
RAL 7004,Szary sygnałowy,Signal grey,Signalgrau,Signaalgrijs,Gris de sécurité,Grigio segnale,Gris señales,Signalinė pilka
RAL 7005,Szary mysi,Mouse grey,Mausgrau,Muisgrijs,Gris souris,Grigio topo,Gris ratón,Pelės pilka
RAL 7006,Szary beżowy,Beige grey,Beigegrau,Beigegrijs,Gris beige,Grigio beige,Gris beige,Smėlio pilka
RAL 7008,Szary khaki,Khaki grey,Khakigrau,Kakigrijs,Gris kaki,Grigio kaki,Gris caqui,Chaki pilka
RAL 7009,Szary zielony,Green grey,Grüngrau,Groengrijs,Gris vert,Grigio verdastro,Gris verdoso,Žaliai pilka
RAL 7010,Plandeka szara,Tarpaulin grey,Zeltgrau,Zeildoekgrijs,Gris tente,Grigio tenda,Gris lona,Tarpaulino pilka
RAL 7011,Szary żelazny,Iron grey,Eisengrau,IJzergrijs,Gris fer,Grigio ferro,Gris hierro,Geležies pilka
